,event country,reporting country,Death num,Neighbor,Asia,Europe,Africa,Oceania,North America,South America,Antarctica,Continent sim,GDP(high),GDP(low-low),GDP(high-high),GDP(low-high),GDP(high-low),Gini Index(high),Gini Index(low-low),Gini Index(high-high),Gini Index(low-high),Gini Index(high-low),Democracy index(high),Democracy index(low-low),Democracy index(high-high),Democracy index(low-high),Democracy index(high-low),Diplomatic Relation,Investment,Trade,Immigration,Same language
101,COL,ESP,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,611.540925913845,1349213005.0,0.0,1
102,COM,ARG,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
103,COM,COL,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
104,COM,MEX,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
105,COM,ESP,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
106,COG,ARG,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
107,COG,COL,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
108,COG,MEX,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
109,COG,ESP,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
110,CRI,ARG,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,1.96933842665686,97504230.0,0.0,1
